Name,Party,Votes,Chart,Vote percentage,District
"DALE, Isobel",KAP,3684,,12.35, Hervey Bay 
"ALLEN, Bernice",ALP,6325,,21.20, Hervey Bay 
"MONAGHAN, Pamela",GRN,867,,3.19, Hinchinbrook 
"KNUTH, Jeff",KAP,9564,,35.24, Hinchinbrook 
"CONNORS, Desmond",Other,263,,0.97, Hinchinbrook 
"CRIPPS, Andrew",LNP,11952,,44.04, Hinchinbrook 
"MCGUIRE, Tony",ALP,4491,,16.55, Hinchinbrook 
"LINDGREN, Joanna",LNP,9115,,35.06, Inala 
"QUALL, Michael",GRN,1874,,7.21, Inala 
"PALASZCZUK, Annastacia",ALP,12016,,46.22, Inala 
"DODD, Ashley",KAP,2993,,11.51, Inala 
"SCHLAMOWITZ, Oscar",ALP,4669,,18.67, Indooroopilly 
"MOONEY, Andrew",FFP,488,,1.95, Indooroopilly 
"WORRINGHAM, Charles",GRN,4623,,18.49, Indooroopilly 
"EMERSON, Scott",LNP,15225,,60.89, Indooroopilly 
"JEREMY, Robert",Other,259,,0.93, Ipswich 
"PETERSEN, Patricia",Other,2470,,8.84, Ipswich 
"STIELER, Tim",FFP,880,,3.15, Ipswich 
"KEYS, Will.",KAP,4041,,14.46, Ipswich 
"BERRY, Ian",LNP,10023,,35.87, Ipswich 
"WHITE, Veronica",GRN,1568,,5.61, Ipswich 
"NOLAN, Rachel",ALP,8703,,31.14, Ipswich 
"WENDT, Wayne",ALP,9083,,31.83, Ipswich West 
"CHOAT, Sean",LNP,12424,,43.54, Ipswich West 
"BOWMAN, Justin",KAP,5225,,18.31, Ipswich West 
"MONSIEGNEUR, Ursula",GRN,1804,,6.32, Ipswich West 
"DOHERTY, Rachel",GRN,2125,,7.91, Kallangur 
"O'NEILL, Mary-Anne",ALP,7750,,28.85, Kallangur 
"RUTHENBERG, Trevor",LNP,13983,,52.05, Kallangur 
"BATES, Michael",KAP,3005,,11.19, Kallangur 
"BLEIJIE, Jarrod",LNP,19132,,66.84, Kawana 
"SPENCER, Paul",KAP,1994,,6.97, Kawana 
"ROBERTS, Gabrielle",GRN,2384,,8.33, Kawana 
"GARNER, Bruce",ALP,5114,,17.87, Kawana 
"BAMBRICK, Paul",GRN,1905,,6.41, Keppel 
"YOUNG, Bruce",LNP,13143,,44.25, Keppel 
"HARGREAVES, Luke",KAP,4722,,15.90, Keppel 
"HOOLIHAN, Paul",ALP,9935,,33.45, Keppel 
"NEUENDORF, David",KAP,6571,,23.82, Lockyer 
"RUDKIN, Clare",GRN,1790,,6.49, Lockyer 
"RICKUSS, Ian",LNP,14348,,52.01, Lockyer 
"WILSON, James",ALP,4876,,17.68, Lockyer 
"PUCCI, Michael",LNP,10388,,41.01, Logan 
"HINTON, Julian",GRN,1362,,5.38, Logan 
"KARAMATIC, Tony",KAP,3196,,12.62, Logan 
"POWER, Linus",ALP,8431,,33.29, Logan 
"KELLY, Mike",Other,1559,,6.16, Logan 
"AGGETT, Troy",ONP,392,,1.55, Logan 
"CHEVERTON, Daniel",ALP,10961,,39.29, Lytton 
"CRUTE, Daniel",GRN,2256,,8.09, Lytton 
"VOTE, Jim",KAP,1881,,6.74, Lytton 
"SYMES, Neil",LNP,12181,,43.66, Lytton 
"MCVEY, Russell",Other,618,,2.22, Lytton 
"TEMPLE, Lindsay",KAP,4870,,18.94, Mackay 
"KERSLAKE, John",LNP,9499,,36.94, Mackay 
"MATHEWS, Luke",GRN,1425,,5.54, Mackay 
"MULHERIN, Tim",ALP,9920,,38.58, Mackay 
"FERRANDO, Carolyn",FFP,696,,2.68, Mansfield 
"SHEEHAN, Craig",GRN,1592,,6.12, Mansfield 
"REEVES, Phil",ALP,8416,,32.37, Mansfield 
"WALKER, Ian",LNP,13953,,53.67, Mansfield 
"WIRTH, Jarrod J",Other,206,,0.79, Mansfield 
"SMITH, Ray",KAP,1135,,4.37, Mansfield 
"SKINNER, Rainee",GRN,3652,,13.00, Maroochydore 
"SIMPSON, Fiona",LNP,16339,,58.16, Maroochydore 
"MAGUIRE, Mark",KAP,2440,,8.69, Maroochydore 
"BARBER, Ray",ALP,5660,,20.15, Maroochydore 
"BURTT, Ezra",ALP,3538,,11.77, Maryborough 
"DALE, Gordon",KAP,5879,,19.56, Maryborough 
"MADDERN, Anne",LNP,10745,,35.74, Maryborough 
"FOLEY, Chris",Other,9071,,30.17, Maryborough 
"CLARIDGE, Garry",GRN,830,,2.76, Maryborough 
"DONOVAN, Ben",FFP,788,,2.87, Mermaid Beach 
"BODDY, Jenny",GRN,2043,,7.45, Mermaid Beach 
"LAW, Ken",KAP,1664,,6.07, Mermaid Beach 
"STEVENS, Ray",LNP,17856,,65.13, Mermaid Beach 
"PATERSON, Rachel",ALP,5064,,18.47, Mermaid Beach 
"CARLISLE, Christine",GRN,975,,3.34, Mirani 
"MALONE, Ted",LNP,13599,,46.65, Mirani 
"PIDGEON, Bevan",KAP,5585,,19.16, Mirani 
"CROUTHER, Mike",FFP,626,,2.15, Mirani 
"PEARCE, Jim",ALP,8369,,28.71, Mirani 
"SEARLE, Barry Anthony",KAP,2112,,7.28, Moggill 
"SCHOERMER, Jake",GRN,4001,,13.80, Moggill 
"NELSON, Michael",ALP,4540,,15.65, Moggill 
"FLEGG, Bruce",LNP,18348,,63.27, Moggill 
"RYAN, Mark",ALP,9988,,36.75, Morayfield 
"GRIMWADE, Darren",LNP,12779,,47.02, Morayfield 
"BECK, Stephen",KAP,2880,,10.60, Morayfield 
"DOHERTY, Paul",GRN,1532,,5.64, Morayfield 
"STONE, Adam",GRN,5269,,20.72, Mount Coot-tha
"FRASER, Andrew",ALP,7285,,28.64, Mount Coot-tha
"WATERMAN, Margaret",KAP,739,,2.91, Mount Coot-tha
"RICE, Saxon",LNP,12142,,47.74, Mount Coot-tha
"PATTEL, Mick",LNP,4731,,29.57, Mount Isa 
"WILLIAMS, Colleen",GRN,348,,2.17, Mount Isa 
"KIERNAN, Betty",ALP,4264,,26.65, Mount Isa 
"KATTER, Rob",KAP,6658,,41.61, Mount Isa 
"NEWSON, Douglas John",KAP,1169,,4.24, Mount Ommaney 
"MARCZYK, Ben",ALP,7086,,25.73, Mount Ommaney 
"SMITH, Tarnya",LNP,15781,,57.30, Mount Ommaney 
"BROWN, Jordan",FFP,452,,1.64, Mount Ommaney 
"SCHMITH, Rex G.",Other,360,,1.31, Mount Ommaney 
"MULKEARNS, Jenny",GRN,2694,,9.78, Mount Ommaney 
"NICHOLSON, Barrie",FFP,1402,,5.23, Mudgeeraba 
"SWAN, Kevin",KAP,2056,,7.67, Mudgeeraba 
"SPAIN, Sally",GRN,2056,,7.67, Mudgeeraba 
"SANTELISES, Aaron",ALP,4753,,17.73, Mudgeeraba 
"BATES, Ros",LNP,16534,,61.69, Mudgeeraba 
"CAVILL, Jim",GRN,899,,3.55, Mulgrave 
"BYRNES, Damian",KAP,7585,,29.95, Mulgrave 
"PITT, Curtis",ALP,8739,,34.50, Mulgrave 
"QUICK, Robyn",LNP,8105,,32.00, Mulgrave 
"MOYLE, David",KAP,5875,,23.00, Mundingburra 
"FISHLEY, Bret",GRN,1283,,5.02, Mundingburra 
"WATERS, Michael",FFP,745,,2.92, Mundingburra 
"HARRISON, Mark",ALP,6569,,25.72, Mundingburra 
"CRISAFULLI, David",LNP,11069,,43.34, Mundingburra 
"GULLEY, Reg",LNP,14040,,49.11, Murrumba 
"WELLS, Dean",ALP,9267,,32.42, Murrumba 
"EDWARDS, Paul",KAP,2263,,7.92, Murrumba 
"VINCENT, Sally",FFP,1622,,5.67, Murrumba 
"BLAIR, Rodney",GRN,1394,,4.88, Murrumba 
"DALTON, John",Other,3804,,12.81, Nanango 
"THOMSON, David",Other,357,,1.20, Nanango 
"NEWSON, Grant",GRN,1090,,3.67, Nanango 
"CLARKE, Virginia",ALP,3134,,10.55, Nanango 
"RACKEMANN, Carl",KAP,7818,,26.33, Nanango 
"FRECKLINGTON, Deb",LNP,13493,,45.44, Nanango 
"LAW, John",GRN,1937,,7.07, Nicklin 
"WELLINGTON, Peter William",Other,10725,,39.14, Nicklin 
"CONNOLLY, John",LNP,9829,,35.87, Nicklin 
"SMITH, Matthew",KAP,2075,,7.57, Nicklin 
"MOORE, Luke",ALP,2154,,7.86, Nicklin 
"TURNER, Cathy",FFP,684,,2.50, Nicklin 
"ELMES, Glen",LNP,17121,,60.59, Noosa 
"JARVIS, Bob",KAP,2548,,9.02, Noosa 
"MCDONALD, Jim",GRN,4382,,15.51, Noosa 
"HOPKINS, Kurt",ALP,3514,,12.44, Noosa 
"COLLEY, Bill",Other,316,,1.12, Noosa 
"MALONEY, Gemika",FFP,376,,1.33, Noosa 
"WOODFORTH, Jason",LNP,12862,,44.49, Nudgee 
"LINARD, Leanne",ALP,10837,,37.49, Nudgee 
"BELL, Terri",KAP,1953,,6.76, Nudgee 
"GONSALVES, Claude",FFP,571,,1.98, Nudgee 
"CROWHURST, Douglas",Other,349,,1.21, Nudgee 
"PINK, Anthony",GRN,2337,,8.08, Nudgee 
"HOLSWICH, Seath",LNP,14590,,52.93, Pine Rivers 
"CLARK, Di",GRN,2326,,8.44, Pine Rivers 
"BULMAN, Patrick",ALP,7556,,27.41, Pine Rivers 
"ALEXANDER, John",KAP,3091,,11.21, Pine Rivers 
"FRANCE, Lisa",LNP,16340,,53.15, Pumicestone 
"FITZGIBBON, Jenny",GRN,1860,,6.05, Pumicestone 
"SULLIVAN, Carryn",ALP,9355,,30.43, Pumicestone 
"KING, Brandt",KAP,3186,,10.36, Pumicestone 
"COLLINGWOOD, Bevan",KAP,2484,,8.74, Redcliffe 
"VAN LITSENBURG, Lillian",ALP,8739,,30.76, Redcliffe 
"DOOLEY, Kerri",FFP,1288,,4.53, Redcliffe 
"CLOTHIER, Noel",GRN,1912,,6.73, Redcliffe 
"DRISCOLL, Scott",LNP,13991,,49.24, Redcliffe 
"SEAGE, Peter",ALP,6524,,24.05, Redlands 
"DOWLING, Peter",LNP,17849,,65.80, Redlands 
"KEOGH, David",GRN,2753,,10.15, Redlands 
"BYRNE, Bill",ALP,11002,,39.79, Rockhampton 
"FINCH, Gavin",LNP,8781,,31.76, Rockhampton 
"GULEY, Shane",KAP,3507,,12.68, Rockhampton 
"HAMILTON, Diane",Other,541,,1.96, Rockhampton 
"DIAMOND, Bruce",Other,1847,,6.68, Rockhampton 
"ELLIS, Genevieve",FFP,734,,2.65, Rockhampton 
"HOOPER, Chris",Other,286,,1.03, Rockhampton 
"LLOYD, Bronwen",GRN,954,,3.45, Rockhampton 
"CROOK, Mike",Other,454,,1.64, Sandgate 
"MCCREERY, Penny",FFP,751,,2.72, Sandgate 
"OGDEN, Claire",GRN,2483,,8.98, Sandgate 
"DUNKLEY, John",KAP,1458,,5.27, Sandgate 
"MILLARD, Kerry",LNP,12096,,43.75, Sandgate 
"DARLING, Vicky",ALP,10408,,37.64, Sandgate 
"GREHAN, Clem",LNP,9887,,38.07, South Brisbane 
"BRAGG, Jo-Anne",GRN,4692,,18.07, South Brisbane 
"FLENADY, Liam",Other,491,,1.89, South Brisbane 
"BLIGH, Anna",ALP,10015,,38.57, South Brisbane 
"WARDROP, Robert",KAP,883,,3.40, South Brisbane 
"LARSEN, Ade",KAP,4112,,13.86, Southern Downs 
"SPRINGBORG, Lawrence",LNP,19771,,66.62, Southern Downs 
"KANE, Michael",GRN,1163,,3.92, Southern Downs 
"SPELLMAN, John",FFP,652,,2.20, Southern Downs 
"KIDMAN, Suzanne",ALP,3979,,13.41, Southern Downs 
"MOLHOEK, Rob",LNP,14890,,55.84, Southport 
"DALTON, Stephen",GRN,1784,,6.69, Southport 
"LAWLOR, Peter",ALP,7580,,28.43, Southport 
"BROWN, Kevin",KAP,1987,,7.45, Southport 
"MACKECHNIE, Matthew",Other,425,,1.59, Southport 
"GRANT, John",LNP,15939,,55.67, Springwood 
"COTTER, Neil",GRN,1910,,6.67, Springwood 
"STONE, Barbara",ALP,8016,,28.00, Springwood 
"TOCACIU, Julian",KAP,1923,,6.72, Springwood 
"LAWRIE, Chris",FFP,845,,2.95, Springwood 
"DAVIS, Chris",LNP,13423,,50.23, Stafford 
"JEREMIJENKO, Peter",GRN,3020,,11.30, Stafford 
"HINCHLIFFE, Stirling",ALP,8972,,33.58, Stafford 
"HUNTER, Karin",KAP,1307,,4.89, Stafford 
"FORDE, David",Other,5259,,18.95, Stretton 
"PEGG, Duncan",ALP,7968,,28.72, Stretton 
"OSTAPOVITCH, Freya",LNP,13000,,46.85, Stretton 
"SADLER, Brian",GRN,1521,,5.48, Stretton 
"DARRAGH, Matt",FFP,1291,,5.01, Sunnybank 
"KING, Gordon",GRN,2463,,9.56, Sunnybank 
"STEWART, Mark",LNP,13578,,52.70, Sunnybank 
"BISHOP, Meg",ALP,8434,,32.73, Sunnybank 
"RAYMOND, Andrea",FFP,971,,3.71, Surfers Paradise 
"LANGBROEK, John-Paul",LNP,18993,,72.63, Surfers Paradise 
"WAINWRIGHT, Helen",GRN,1861,,7.12, Surfers Paradise 
"DONOVAN, Matthew",ALP,4325,,16.54, Surfers Paradise 
"TODESCHINI, Steve",KAP,8201,,30.13, Thuringowa 
"WILLIAMS, Bernie",GRN,986,,3.62, Thuringowa 
"BRITTON, Adrian",FFP,749,,2.75, Thuringowa 
"WALLACE, Craig",ALP,7448,,27.36, Thuringowa 
"COX, Sam",LNP,9837,,36.14, Thuringowa 
"RIETHMULLER, Neil Leslie",Other,433,,1.45, Toowoomba North 
"SHINE, Kerry",ALP,9667,,32.28, Toowoomba North 
"WATTS, Trevor",LNP,14898,,49.75, Toowoomba North 
"FORSBERG, Frida",GRN,1461,,4.88, Toowoomba North 
"PYKE, Peter",KAP,3485,,11.64, Toowoomba North 
"PHILLIPS, Charlene",Other,896,,3.03, Toowoomba South 
"CURLESS, David",KAP,3520,,11.92, Toowoomba South 
"MCVEIGH, John",LNP,17283,,58.53, Toowoomba South 
"MCFARLANE, Sam",ALP,6208,,21.03, Toowoomba South 
"SMITH, Trevor",GRN,1619,,5.48, Toowoomba South 
"GRIGG, Ray",KAP,5654,,21.82, Townsville 
"JOHNSTONE, Mandy",ALP,7585,,29.27, Townsville 
"STIRLING, Jenny",GRN,1988,,7.67, Townsville 
"HATHAWAY, John",LNP,10011,,38.63, Townsville 
"PUNSHON, Michael",FFP,674,,2.60, Townsville 
"O'BRIEN, Mark Arthur",Other,3124,,13.19, Warrego 
"EARIXSON, Robert",KAP,3330,,14.06, Warrego 
"HOBBS, Howard",LNP,13770,,58.13, Warrego 
"BOWDEN, David",ALP,2995,,12.64, Warrego 
"MAIZEY, Graeme",GRN,470,,1.98, Warrego 
"SMITH, Ray",GRN,1986,,7.01, Waterford 
"PAGE, Albert",KAP,2587,,9.13, Waterford 
"HOWSE, David Gordon",Other,392,,1.38, Waterford 
"FARRAR, Peter",FFP,1201,,4.24, Waterford 
"LATTER, Mike",LNP,11228,,39.62, Waterford 
"MOORHEAD, Evan",ALP,10947,,38.63, Waterford 
"JARRATT, Jan",ALP,7901,,27.43, Whitsunday 
"COSTIGAN, Jason",LNP,12785,,44.38, Whitsunday 
"DYKYJ, Jonathon",GRN,1695,,5.88, Whitsunday 
"CAMM, Amanda",KAP,6424,,22.30, Whitsunday 
"GEANGE, Justin",FFP,2199,,8.76, Woodridge 
"REDDINGTON, John",GRN,2150,,8.57, Woodridge 
"DORRIES, Simon",LNP,9012,,35.92, Woodridge 
"SCOTT, Desley",ALP,11730,,46.75, Woodridge 
"CONNORS, Libby",GRN,4563,,15.96, Yeerongpilly 
"JUDGE, Carl",LNP,12356,,43.22, Yeerongpilly 
"HEWLETT, Kathleen",KAP,1312,,4.59, Yeerongpilly 
"FINN, Simon",ALP,9875,,34.54, Yeerongpilly 
"TODD, Alexandra",FFP,480,,1.68, Yeerongpilly 
