Team,variable,value
NOP,FTA,23.4
TOR,TRB,45.4
BOS,TRB,46.1
PHI,TRB,45.4
BRK,TRB,47.9
NYK,TRB,46.5
MIL,TRB,51.7
CHI,TRB,41.9
IND,TRB,42.8
DET,TRB,41.7
CLE,TRB,44.2
MIA,TRB,44.4
ORL,TRB,44.5
CHO,TRB,42.8
WAS,TRB,42.0
ATL,TRB,43.3
DEN,TRB,44.1
OKC,TRB,42.9
UTA,TRB,44.9
POR,TRB,45.3
MIN,TRB,44.8
LAL,TRB,45.7
LAC,TRB,47.7
PHO,TRB,43.5
SAC,TRB,42.6
GSW,TRB,42.8
DAL,TRB,46.9
HOU,TRB,44.3
MEM,TRB,46.5
SAS,TRB,44.6
NOP,TRB,46.5
TOR,AST,25.2
BOS,AST,23.0
PHI,AST,25.8
BRK,AST,24.5
NYK,AST,22.1
MIL,AST,25.9
CHI,AST,23.2
IND,AST,25.9
DET,AST,24.1
CLE,AST,23.1
MIA,AST,25.9
ORL,AST,23.9
CHO,AST,23.8
WAS,AST,25.0
ATL,AST,24.0
DEN,AST,26.7
OKC,AST,21.7
UTA,AST,22.4
POR,AST,20.6
MIN,AST,23.8
LAL,AST,25.4
LAC,AST,23.7
PHO,AST,27.2
SAC,AST,23.8
GSW,AST,25.6
DAL,AST,24.7
HOU,AST,21.6
MEM,AST,26.9
SAS,AST,24.7
NOP,AST,26.8
TOR,STL,8.8
BOS,STL,8.3
PHI,STL,8.0
BRK,STL,6.4
NYK,STL,7.6
MIL,STL,7.2
CHI,STL,10.0
IND,STL,7.4
DET,STL,7.4
CLE,STL,6.9
MIA,STL,7.5
ORL,STL,8.2
CHO,STL,6.6
WAS,STL,8.0
ATL,STL,7.8
DEN,STL,8.0
OKC,STL,7.6
UTA,STL,6.1
POR,STL,6.3
MIN,STL,8.7
LAL,STL,8.6
LAC,STL,7.1
PHO,STL,7.7
SAC,STL,7.7
GSW,STL,8.2
DAL,STL,6.1
HOU,STL,8.7
MEM,STL,7.9
SAS,STL,7.3
NOP,STL,7.5
TOR,BLK,5.0
BOS,BLK,5.6
PHI,BLK,5.3
BRK,BLK,4.5
NYK,BLK,4.7
MIL,BLK,5.9
CHI,BLK,4.1
IND,BLK,5.2
DET,BLK,4.5
CLE,BLK,3.2
MIA,BLK,4.5
ORL,BLK,5.4
CHO,BLK,4.1
WAS,BLK,4.3
ATL,BLK,5.1
DEN,BLK,4.6
OKC,BLK,4.9
UTA,BLK,4.1
POR,BLK,6.1
MIN,BLK,5.7
LAL,BLK,6.6
LAC,BLK,4.7
PHO,BLK,4.0
SAC,BLK,4.1
GSW,BLK,4.6
DAL,BLK,4.8
HOU,BLK,5.2
MEM,BLK,5.5
SAS,BLK,5.5
NOP,BLK,5.0
TOR,TOV,14.8
BOS,TOV,13.8
PHI,TOV,14.2
BRK,TOV,15.3
NYK,TOV,14.3
MIL,TOV,15.1
CHI,TOV,15.5
IND,TOV,13.2
DET,TOV,15.3
CLE,TOV,16.5
MIA,TOV,14.9
ORL,TOV,12.8
CHO,TOV,14.6
WAS,TOV,14.2
ATL,TOV,16.2
DEN,TOV,13.8
OKC,TOV,13.7
UTA,TOV,15.1
POR,TOV,12.8
MIN,TOV,15.3
LAL,TOV,15.2
LAC,TOV,14.6
PHO,TOV,14.8
SAC,TOV,14.5
GSW,TOV,14.9
DAL,TOV,12.7
HOU,TOV,14.7
MEM,TOV,15.2
SAS,TOV,12.6
NOP,TOV,16.4
